loss,mae,mse,val_loss,val_mae,val_mse,epoch
1.0885695219039917,0.7680957913398743,1.0885695219039917,1.1844325065612793,0.7907710075378418,1.1844325065612793,0
1.049078345298767,0.7453634738922119,1.049078345298767,1.1707062721252441,0.7849254012107849,1.1707062721252441,1
1.0930033922195435,0.7554389834403992,1.0930033922195435,1.1569819450378418,0.7792554497718811,1.1569819450378418,2
1.014505386352539,0.7379173040390015,1.014505386352539,1.143944501876831,0.7738305330276489,1.143944501876831,3
1.0368378162384033,0.7411341071128845,1.0368378162384033,1.1305568218231201,0.7682755589485168,1.1305568218231201,4
1.0351587533950806,0.745216429233551,1.0351587533950806,1.1176600456237793,0.7633019089698792,1.1176600456237793,5
1.0431218147277832,0.7435048222541809,1.0431218147277832,1.1042882204055786,0.7580112814903259,1.1042882204055786,6
0.970405638217926,0.7231387495994568,0.970405638217926,1.0915513038635254,0.7527005076408386,1.0915513038635254,7
0.985398530960083,0.7158845067024231,0.985398530960083,1.0788352489471436,0.7478260397911072,1.0788352489471436,8
0.9699970483779907,0.7253506779670715,0.9699970483779907,1.0663330554962158,0.7428994178771973,1.0663330554962158,9
0.9970727562904358,0.7144617438316345,0.9970727562904358,1.0535180568695068,0.7379336953163147,1.0535180568695068,10
0.963086724281311,0.7147718667984009,0.963086724281311,1.0409486293792725,0.7330023646354675,1.0409486293792725,11
0.9584164023399353,0.7094960808753967,0.9584164023399353,1.0282131433486938,0.7280000448226929,1.0282131433486938,12
0.9511667490005493,0.7017189264297485,0.9511667490005493,1.0155118703842163,0.7231089472770691,1.0155118703842163,13
0.9096128940582275,0.6893134117126465,0.9096128940582275,1.0029022693634033,0.7181817293167114,1.0029022693634033,14
0.9169573783874512,0.6841273903846741,0.9169573783874512,0.9906530976295471,0.7133719325065613,0.9906530976295471,15
0.9306003451347351,0.6927966475486755,0.9306003451347351,0.978739857673645,0.7085624933242798,0.978739857673645,16
0.8742586374282837,0.6776772737503052,0.8742586374282837,0.9663628935813904,0.7039418816566467,0.9663628935813904,17
0.8926659226417542,0.6805509924888611,0.8926659226417542,0.9543993473052979,0.6989334225654602,0.9543993473052979,18
0.8609492778778076,0.6699314713478088,0.8609492778778076,0.9416744112968445,0.6941165924072266,0.9416744112968445,19
0.8696258664131165,0.6678029298782349,0.8696258664131165,0.9298427104949951,0.6891981363296509,0.9298427104949951,20
0.8866697549819946,0.6701393127441406,0.8866697549819946,0.9171473383903503,0.6844550371170044,0.9171473383903503,21
0.8749485015869141,0.6734849810600281,0.8749485015869141,0.9052072763442993,0.6796122193336487,0.9052072763442993,22
0.86822909116745,0.6674066185951233,0.86822909116745,0.8932085037231445,0.6748344302177429,0.8932085037231445,23
0.8479285836219788,0.6584061980247498,0.8479285836219788,0.8808651566505432,0.6697655320167542,0.8808651566505432,24
0.8219672441482544,0.6548866629600525,0.8219672441482544,0.8686558604240417,0.6647099852561951,0.8686558604240417,25
0.842201828956604,0.6541255116462708,0.842201828956604,0.8562034964561462,0.6597605347633362,0.8562034964561462,26
0.8118235468864441,0.6408358216285706,0.8118235468864441,0.8440670371055603,0.654988706111908,0.8440670371055603,27
0.8164291381835938,0.644223690032959,0.8164291381835938,0.8316893577575684,0.6500086784362793,0.8316893577575684,28
0.7843527793884277,0.6302542090415955,0.7843527793884277,0.8193404674530029,0.6448082327842712,0.8193404674530029,29
0.8152564167976379,0.638691782951355,0.8152564167976379,0.8073527216911316,0.6398584842681885,0.8073527216911316,30
0.7646825313568115,0.6294505000114441,0.7646825313568115,0.7949979901313782,0.6347419023513794,0.7949979901313782,31
0.7567214965820312,0.6138328313827515,0.7567214965820312,0.7824596762657166,0.629745364189148,0.7824596762657166,32
0.7487682700157166,0.6165559887886047,0.7487682700157166,0.7700594663619995,0.6246872544288635,0.7700594663619995,33
0.7537692189216614,0.619009256362915,0.7537692189216614,0.7574555277824402,0.619407594203949,0.7574555277824402,34
