avgTemp,minTemp,naxTemp,rainFall,-1dayPrice,avgPrice
20.4,13.5,27.7,0.0,1600,1600
20.0,12.9,27.4,0.0,1630,1600
19.4,13.5,25.3,4.2,1630,1630
19.6,15.8,25.1,4.7,1630,1630
19.4,13.2,27.4,0.1,1540,1630
15.9,10.6,21.5,0.9,1580,1540
17.3,9.8,24.8,0.3,1580,1580
20.2,11.6,27.7,0.0,1580,1580
23.1,16.2,30.5,0.0,1580,1580
22.7,16.0,30.2,0.0,1580,1580
21.4,16.3,27.5,4.6,1500,1580
20.7,15.9,26.9,6.4,1500,1500
18.7,12.2,25.3,0.1,1500,1500
19.0,13.9,24.9,0.4,1500,1500
19.3,11.4,26.8,1.5,1500,1500
20.1,12.9,27.3,0.0,1500,1500
17.7,14.5,21.7,11.3,1500,1500
18.2,15.8,21.0,6.2,1460,1500
20.3,15.6,26.3,0.0,1460,1460
21.8,15.2,28.3,1.3,1400,1460
21.0,16.1,26.6,0.8,1400,1400
20.2,14.2,27.0,1.8,1400,1400
19.3,14.5,24.7,0.1,1410,1400
19.0,14.4,25.3,3.0,1410,1410
20.5,14.1,27.1,0.1,1400,1410
22.4,15.7,29.8,0.3,1390,1400
22.0,16.2,28.5,0.1,1390,1390
22.2,16.0,29.2,0.0,1390,1390
23.1,16.0,31.1,4.5,1390,1390
23.9,16.7,31.3,0.0,1370,1390
22.8,17.7,28.1,6.5,1420,1370
23.1,18.5,29.0,0.5,1360,1420
23.7,18.0,30.1,0.0,1280,1360
24.3,18.3,31.1,1.0,1280,1280
23.0,19.0,28.9,2.7,1280,1280
22.6,18.9,27.9,10.8,1280,1280
22.2,19.5,26.7,11.3,1290,1280
23.0,19.4,28.0,4.0,1390,1290
23.9,19.5,29.7,5.4,1390,1390
23.6,20.2,28.1,11.9,1390,1390
24.9,20.5,30.0,0.9,1390,1390
25.2,22.4,28.9,4.1,1390,1390
25.4,23.3,28.5,23.8,1390,1390
25.4,23.5,28.8,28.9,1450,1390
25.3,22.9,29.8,23.0,1520,1450
25.8,22.4,30.9,8.9,1440,1520
25.3,21.9,30.2,18.4,1380,1440
25.7,22.8,28.9,4.9,1320,1380
25.5,23.2,28.6,24.1,1320,1320
26.8,23.2,31.6,8.3,1320,1320
26.0,24.0,28.2,24.4,1320,1320
26.1,22.9,30.2,6.2,1320,1320
26.9,22.6,32.3,0.1,1310,1320
26.8,22.0,32.6,0.1,1310,1310
26.6,22.8,32.7,8.7,1350,1310
25.5,23.2,28.5,22.8,1350,1350
26.6,23.8,30.4,33.6,1350,1350
26.3,23.4,30.5,8.3,1430,1350
25.9,22.9,29.9,5.2,1470,1430
27.3,23.3,32.7,2.4,1470,1470
28.2,23.6,33.4,0.1,1430,1470
29.1,25.3,33.8,2.8,1430,1430
27.8,24.9,32.2,10.3,1430,1430
26.9,24.5,29.6,18.6,1430,1430
27.3,25.0,31.2,10.7,1410,1430
26.7,23.9,31.1,14.5,1470,1410
25.9,21.8,30.7,10.8,1590,1470
25.4,20.3,31.0,1.7,1650,1590
25.9,22.0,30.1,16.3,1650,1650
25.4,23.4,28.6,8.4,1650,1650
26.1,23.0,30.6,2.5,1650,1650
24.9,23.1,27.5,19.4,1630,1650
26.7,22.9,32.0,3.7,1610,1630
27.1,23.7,32.0,2.8,1610,1610
27.1,22.8,32.0,0.0,1750,1610
28.3,23.4,33.8,0.6,1810,1750
29.4,24.6,35.0,2.0,1810,1810
29.3,25.0,34.8,5.5,1810,1810
28.5,24.7,33.8,2.9,1870,1810
27.3,23.3,32.2,2.3,1800,1870
25.6,23.5,28.7,13.6,1860,1800
25.7,23.5,29.3,19.0,1900,1860
25.8,22.3,31.1,14.0,1980,1900
25.4,21.7,30.2,5.1,1980,1980
23.9,21.4,26.7,5.4,1980,1980
23.1,21.4,25.3,39.1,2100,1980
23.3,21.7,25.4,25.8,2100,2100
24.5,22.1,28.3,6.5,2270,2100
24.5,21.7,28.8,6.5,2270,2270
24.9,21.6,29.8,9.3,2380,2270
24.8,21.8,29.0,8.1,2380,2380
24.7,22.5,27.8,24.9,2380,2380
25.3,22.9,29.4,26.4,2360,2380
26.6,23.5,31.2,10.8,2360,2360
27.6,24.2,31.8,13.5,2320,2360
27.8,24.7,31.4,17.1,2340,2320
25.8,21.2,31.2,12.4,2300,2340
23.1,17.9,29.5,0.0,2300,2300
22.3,16.5,28.5,0.0,2300,2300
23.6,18.4,28.7,12.2,2280,2300
22.4,18.2,27.1,3.6,2280,2280
19.8,16.7,24.2,0.1,2360,2280
21.1,15.6,27.2,0.0,2320,2360
21.2,16.1,27.5,0.2,2320,2320
20.5,15.2,26.2,0.0,2320,2320
21.2,15.2,27.8,0.0,2320,2320
21.7,17.1,27.5,2.2,2320,2320
20.7,18.0,23.5,1.9,2340,2320
21.0,18.6,24.1,15.9,2420,2340
21.3,17.8,26.5,3.4,2420,2420
22.2,17.6,28.6,0.0,2420,2420
22.1,17.4,28.7,0.0,2420,2420
22.4,17.8,27.4,1.1,2420,2420
20.6,18.3,23.6,51.5,2340,2420
21.7,17.0,27.7,4.7,2280,2340
20.0,14.3,27.1,1.0,2340,2280
20.2,13.7,27.1,1.1,2320,2340
20.5,16.4,25.0,0.0,2240,2320
20.3,16.1,24.5,0.7,2240,2240
21.0,17.1,25.9,4.3,2240,2240
20.6,15.2,27.0,0.0,2200,2240
21.7,16.6,27.1,10.1,2200,2200
19.6,14.0,24.5,1.1,2160,2200
18.2,11.9,25.6,0.0,2100,2160
19.2,13.9,26.4,0.8,2120,2100
19.8,14.9,26.2,0.1,2120,2120
20.8,15.7,27.5,0.3,2120,2120
21.6,16.6,28.4,0.0,2140,2120
22.2,17.1,28.2,1.2,2100,2140
19.5,17.4,22.5,17.6,2060,2100
19.5,14.8,25.0,1.6,2040,2060
15.7,10.4,21.8,0.0,2000,2040
17.2,9.9,25.8,0.0,2000,2000
16.7,12.8,20.3,23.0,2000,2000
19.8,16.5,24.3,19.8,2000,2000
18.1,14.8,23.1,3.1,2000,2000
17.0,13.2,22.1,0.7,2000,2000
16.6,12.8,20.9,3.1,2000,2000
16.5,13.8,19.1,8.7,2000,2000
19.3,15.8,24.3,0.7,2000,2000
20.3,16.1,26.4,0.0,2000,2000
20.7,16.3,27.0,0.0,1880,2000
20.8,16.6,26.5,4.3,1880,1880
17.8,14.7,21.9,6.0,1880,1880
13.1,10.6,15.6,10.6,1880,1880
13.1,8.0,19.2,1.7,1880,1880
14.1,9.2,20.2,0.6,1820,1880
14.5,10.2,19.1,2.7,1820,1820
15.4,12.1,20.0,1.9,1660,1820
15.1,10.0,21.3,0.0,1580,1660
15.5,12.9,18.6,0.4,1580,1580
15.2,11.3,20.3,1.0,1580,1580
15.1,10.0,22.2,0.0,1580,1580
15.1,9.5,22.4,0.0,1620,1580
15.5,9.8,21.3,1.1,1600,1620
12.8,8.0,18.4,0.0,1620,1600
11.6,7.1,18.4,0.3,1620,1620
11.6,5.9,19.6,0.0,1620,1620
12.7,6.8,19.6,0.0,1620,1620
14.3,9.5,21.5,0.0,1620,1620
15.3,9.3,21.8,0.0,1820,1620
12.8,7.6,19.4,25.1,1800,1820
8.0,3.0,14.1,0.7,1780,1800
